LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,L1,L2,L3,L4,L5,L6,L7,L8,L9,CHK,구역,비고
3880750100,3880277300,3880277400,1,107,000,-,화합11길,0,0,000,60,0,0,0,134.937100000000,,,,,,,,,,,0,2구역,
3880750200,3880277500,3880277300,1,107,000,-,화합11길,0,0,000,60,0,0,0,113.702900000000,,,,,,,,,,,0,2구역,
3880750300,3880277300,3880277500,1,107,000,-,화합11길,0,0,000,60,0,0,0,113.702800000000,,,,,,,,,,,0,2구역,
3880750400,3880277600,3880277500,1,107,000,-,화합길,0,0,000,60,0,0,0,42.638500000000,,,,,,,,,,,0,2구역,
3880750500,3880277500,3880277600,1,107,000,-,화합길,0,0,000,60,0,0,0,42.638400000000,,,,,,,,,,,0,2구역,
3880750600,3880278200,3880277400,1,107,000,-,화합10길,0,0,000,60,0,0,0,103.641700000000,,,,,,,,,,,0,2구역,
3880750700,3880277400,3880278200,1,107,000,-,화합10길,0,0,000,60,0,0,0,103.641700000000,,,,,,,,,,,0,2구역,
3880750800,3880279500,3880277200,1,107,000,-,화합4길,0,0,000,60,0,0,0,36.673000000000,,,,,,,,,,,0,2구역,
3880750900,3880277200,3880279500,1,107,000,-,화합4길,0,0,000,60,0,0,0,36.673000000000,,,,,,,,,,,0,2구역,
3880751000,3880277800,3880277700,1,107,000,-,화합길,0,0,000,60,0,0,0,43.285500000000,,,,,,,,,,,0,2구역,
3880751100,3880277700,3880277800,1,107,000,-,화합길,0,0,000,60,0,0,0,43.285600000000,,,,,,,,,,,0,2구역,
3880751200,3880278000,3880277900,1,107,000,-,화합길,0,0,000,60,0,0,0,35.342300000000,,,,,,,,,,,0,2구역,
3880751300,3880277900,3880278000,1,107,000,-,화합길,0,0,000,60,0,0,0,35.342400000000,,,,,,,,,,,0,2구역,
3880751400,3880278100,3880278000,1,107,000,-,화합길,0,0,000,60,0,0,0,108.294100000000,,,,,,,,,,,0,2구역,
3880751500,3880278000,3880278100,1,107,000,-,화합길,0,0,000,60,0,0,0,108.294000000000,,,,,,,,,,,0,2구역,
3880751600,3880278100,3880276700,1,107,000,-,화합길,0,0,000,60,0,0,0,43.285900000000,,,,,,,,,,,0,2구역,
3880751700,3880276700,3880278100,1,107,000,-,화합길,0,0,000,60,0,0,0,43.285900000000,,,,,,,,,,,0,2구역,
3880751800,3880278200,3880277600,1,107,000,-,화합10길,0,0,000,60,0,0,0,112.921600000000,,,,,,,,,,,0,2구역,
3880751900,3880277600,3880278200,1,107,000,-,화합10길,0,0,000,60,0,0,0,112.921600000000,,,,,,,,,,,0,2구역,
3880752000,3880278300,3880278200,1,107,000,-,화합10길,0,0,000,60,0,0,0,40.540000000000,,,,,,,,,,,0,2구역,
3880752100,3880278200,3880278300,1,107,000,-,화합10길,0,0,000,60,0,0,0,40.540000000000,,,,,,,,,,,0,2구역,
3880752200,3880278400,3880278300,1,107,000,-,화합9길,0,0,000,60,0,0,0,43.464300000000,,,,,,,,,,,0,2구역,
3880752300,3880278300,3880278400,1,107,000,-,화합9길,0,0,000,60,0,0,0,43.464300000000,,,,,,,,,,,0,2구역,
3880752400,3880278500,3880278400,1,107,000,-,화합8길,0,0,000,60,0,0,0,31.975700000000,,,,,,,,,,,0,2구역,
3880752500,3880278400,3880278500,1,107,000,-,화합8길,0,0,000,60,0,0,0,31.975800000000,,,,,,,,,,,0,2구역,
3880752600,3880278600,3880278500,1,107,000,-,화합7길,0,0,000,60,0,0,0,35.523500000000,,,,,,,,,,,0,2구역,
3880752700,3880278500,3880278600,1,107,000,-,화합7길,0,0,000,60,0,0,0,35.523500000000,,,,,,,,,,,0,2구역,
3880752800,3880278700,3880278600,1,107,000,-,화합4길,0,0,000,60,0,0,0,109.719600000000,,,,,,,,,,,0,2구역,
3880752900,3880278600,3880278700,1,107,000,-,화합4길,0,0,000,60,0,0,0,109.719600000000,,,,,,,,,,,0,2구역,
3880753000,3880278300,3880277700,1,107,000,-,화합9길,0,0,000,60,0,0,0,112.371400000000,,,,,,,,,,,0,2구역,
3880753100,3880277700,3880278300,1,107,000,-,화합9길,0,0,000,60,0,0,0,112.371400000000,,,,,,,,,,,0,2구역,
3880753200,3880278400,3880277800,1,107,000,-,화합8길,0,0,000,60,0,0,0,110.915800000000,,,,,,,,,,,0,2구역,
3880753300,3880277800,3880278400,1,107,000,-,화합8길,0,0,000,60,0,0,0,110.915800000000,,,,,,,,,,,0,2구역,
3880753400,3880278400,3880046501,1,107,000,-,화합8길,0,0,000,60,0,0,0,127.998300000000,,,,,,,,,,,0,2구역,
3880753500,3880046501,3880278400,1,107,000,-,화합8길,0,0,000,60,0,0,0,127.998400000000,,,,,,,,,,,0,2구역,
3880753600,3880278500,3880277900,1,107,000,-,화합7길,0,0,000,60,0,0,0,108.798300000000,,,,,,,,,,,0,2구역,
3880753700,3880277900,3880278500,1,107,000,-,화합7길,0,0,000,60,0,0,0,108.798200000000,,,,,,,,,,,0,2구역,
3880753800,3880278900,3880278300,1,107,000,-,화합9길,0,0,000,60,0,0,0,104.430700000000,,,,,,,,,,,0,2구역,
3880753900,3880278300,3880278900,1,107,000,-,화합9길,0,0,000,60,0,0,0,104.430700000000,,,,,,,,,,,0,2구역,
3880754000,3880279000,3880278500,1,107,000,-,화합7길,0,0,000,60,0,0,0,107.485800000000,,,,,,,,,,,0,2구역,
3880754100,3880278500,3880279000,1,107,000,-,화합7길,0,0,000,60,0,0,0,107.485800000000,,,,,,,,,,,0,2구역,
3880754200,3880279100,3880278000,1,107,000,-,화합6길,0,0,000,60,0,0,0,37.457200000000,,,,,,,,,,,0,2구역,
3880754300,3880278000,3880279100,1,107,000,-,화합6길,0,0,000,60,0,0,0,37.457200000000,,,,,,,,,,,0,2구역,
3880754400,3880279200,3880279100,1,107,000,-,화합6길,0,0,000,60,0,0,0,34.547200000000,,,,,,,,,,,0,2구역,
3880754500,3880279100,3880279200,1,107,000,-,화합6길,0,0,000,60,0,0,0,34.547300000000,,,,,,,,,,,0,2구역,
3880754600,3880279200,3880278600,1,107,000,-,화합6길,0,0,000,60,0,0,0,35.342500000000,,,,,,,,,,,0,2구역,
3880754700,3880278600,3880279200,1,107,000,-,화합6길,0,0,000,60,0,0,0,35.342600000000,,,,,,,,,,,0,2구역,
3880754800,3880279400,3880279300,1,107,000,-,화합6길,0,0,000,60,0,0,0,38.803300000000,,,,,,,,,,,0,2구역,
3880754900,3880279300,3880279400,1,107,000,-,화합6길,0,0,000,60,0,0,0,38.803300000000,,,,,,,,,,,0,2구역,
3880755000,3880279400,3880278600,1,107,000,-,화합6길,0,0,000,60,0,0,0,34.547400000000,,,,,,,,,,,0,2구역,
3880755100,3880278600,3880279400,1,107,000,-,화합6길,0,0,000,60,0,0,0,34.547400000000,,,,,,,,,,,0,2구역,
