LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,L1,L2,L3,L4,L5,L6,L7,L8,L9,CHK,구역,U_Turn,회전금지
3880837100,3880002102,3880289900,1,107.0,0.0,-,곡리3길,0.0,0.0,0.0,30,0.0,0,0,240.5014,,3880781300,3880781000.0,,,,,,,,1,2구역,,
3880837400,3880290900,3880042301,2,107.0,0.0,-,수질정화공원로,0.0,0.0,0.0,60,0.0,0,0,801.218,,3880128902,3880129002.0,,,,,,,,1,2구역,,
3880837500,3880042301,3880290900,2,107.0,0.0,-,수질정화공원로,0.0,0.0,0.0,60,0.0,0,0,797.9794,,3880837600,3880837800.0,,,,,,,,1,2구역,,
3880837600,3880290900,3880042600,2,107.0,0.0,-,강변로,0.0,0.0,0.0,60,0.0,0,0,820.3247,,3880128201,3880128300.0,,,,,,,,1,2구역,,
3880837700,3880042600,3880290900,2,107.0,0.0,-,강변로,0.0,0.0,0.0,60,0.0,0,0,835.5438,,3880837800,3880837400.0,,,,,,,,1,2구역,,
3880837800,3880290900,3880000701,2,107.0,0.0,-,강변로,0.0,0.0,0.0,60,0.0,0,0,156.0038,,3880002202,3880002103.0,,,,,,,,1,2구역,,
3880837900,3880000701,3880290900,2,107.0,0.0,-,강변로,0.0,0.0,0.0,60,0.0,0,0,156.0002,,3880837400,3880837600.0,,,,,,,,1,2구역,,
3880838000,3880291100,3880042401,1,107.0,0.0,-,금오4길,0.0,0.0,0.0,60,0.0,0,0,236.8382,,3880128802,3880782900.0,3880128702.0,,,,,,,1,2구역,,
3880838100,3880042401,3880291100,1,107.0,0.0,-,금오4길,0.0,0.0,0.0,60,0.0,0,0,253.5681,,3880838000,,,,,,,,,2,2구역,,
3880838200,3880291300,3880000702,1,107.0,0.0,-,금산1길,0.0,0.0,0.0,30,0.0,0,0,634.7161,,3880002105,3880002204.0,,,,,,,,1,2구역,,
3880838300,3880000702,3880291300,1,107.0,0.0,-,금산1길,0.0,0.0,0.0,30,0.0,0,0,657.4137,,3880782600,,,,,,,,,1,2구역,,
3880838400,3880291700,3880291000,1,107.0,0.0,-,금오10길,0.0,0.0,0.0,60,0.0,0,0,67.4009,,3880784700,3880784200.0,,,,,,,,1,2구역,,
3880839800,3880293900,3880293700,1,107.0,0.0,-,금산5길,0.0,0.0,0.0,60,0.0,0,0,62.629,,3880789600,3880789800.0,3880839600.0,,,,,,,1,2구역,,
3880839900,3880293700,3880293900,1,107.0,0.0,-,금산5길,0.0,0.0,0.0,60,0.0,0,0,62.629,,3880790200,3880840100.0,,,,,,,,1,2구역,,
3880840000,3880294000,3880293900,1,107.0,0.0,-,금산5길,0.0,0.0,0.0,60,0.0,0,0,66.8753,,3880790200,3880839800.0,,,,,,,,1,2구역,,
3880840100,3880293900,3880294000,1,107.0,0.0,-,금산5길,0.0,0.0,0.0,60,0.0,0,0,66.8753,,3880790900,3880792700.0,3880791100.0,,,,,,,1,2구역,,
3880840200,3880294700,3880056701,1,107.0,0.0,-,신전길,0.0,0.0,0.0,50,0.0,0,250,535.3314,,3880026604,3880026504.0,,,,,,,,1,,,
3880840300,3880056701,3880294700,1,107.0,0.0,-,신전길,0.0,0.0,0.0,50,0.0,0,250,530.3371,,3880793200,3880793000.0,,,,,,,,1,,,
3880840400,3880002001,1450416400,1,107.0,0.0,-,철마삼동로,0.0,0.0,0.0,60,0.0,0,0,149.0542,,1451077000,,,,,,,,,1,2구역,,
3880840500,1450416400,3880002001,1,107.0,0.0,-,철마삼동로,0.0,0.0,0.0,60,0.0,0,0,154.3823,,3880010703,3880010803.0,,,,,,,,1,2구역,,
3880840800,3880294800,3880294900,3,101.0,3.0,551,중앙고속도로지선,0.0,0.0,0.0,100,5.0,0,0,880.1384,,3880841000,,,,,,,,,1,2구역,,
3880840900,3880294900,3880294800,3,101.0,3.0,551,중앙고속도로지선,0.0,0.0,0.0,100,5.0,0,0,880.0171,,3851177800,,,,,,,,,1,2구역,,
3880841000,3880294900,3880001300,3,101.0,0.0,551,중앙고속도로지선,0.0,0.0,0.0,100,5.0,0,500,1475.624,,3880002900,,,,,,,,,1,2구역,,
3880841100,3880001300,3880294900,3,101.0,0.0,551,중앙고속도로지선,0.0,0.0,0.0,100,5.0,0,500,1464.7133,,3880840900,,,,,,,,,1,2구역,,
3880841200,1400020000,3880041200,3,106.0,0.0,1077,노포사송로,0.0,0.0,0.0,70,0.0,0,450,1050.6133,,3880317601,3880850301.0,,,,,,,,1,2구역,,
3880841300,3880041200,1400020000,3,106.0,0.0,1077,노포사송로,0.0,0.0,0.0,70,0.0,0,450,1061.2547,,1400011400,,,,,,,,,1,2구역,,
